更新时间,#genre#
20240618,url

特色,#genre#
103影视集装箱,http://openhls-tct.douyucdn2.cn/dyliveflv3a/8651489rCsfkkY6Z.m3u8?txSecret=7be9571d134f21e3e4d61dd78289c3de&txTime=6671ba80&token=cph-androidmpro-0-8651489-96c982f3c9e4485b23716f21df85be98&did=10000000000000000000000000001501&origin=tct&vhost=play4&sid=392382303
103影视集装箱,https://stream.freetv.fun/692512919b6aaf788a08fe7438016862f00c25d3d21a3259830f7e9615fa7012.ctv
104五分钟电影汇,http://openhls-tct.douyucdn2.cn/dyliveflv3/8443438rbwLCErmq.m3u8?txSecret=53b4589ef1da8470db0b576d93364e05&txTime=6671b8f1&token=cph-androidmpro-0-8443438-1a205cb2c3350e1b1f4578f8b87cfcc4&did=10000000000000000000000000001501&origin=tct&vhost=play3&sid=392714988
104五分钟电影汇,https://stream.freetv.fun/fceb760277d6e771b30c777d5d50e44e419e48fdb967bc9a37308287f2acecab.ctv
10虫哥说电影,http://openhls-tct.douyucdn2.cn/dyliveflv3/8915074rH6W2cxXs.m3u8?txSecret=034ed784c6ea98f7c661eb8ae03f7496&txTime=6671ba95&token=cph-androidmpro-0-8915074-d79b33daee0deaf349382d1f4cc87711&did=10000000000000000000000000001501&origin=tct&vhost=play3&sid=391675577
10虫哥说电影,https://stream.freetv.fun/4ceae168f17c40927488209407ad4b393c16db5a20f2f885303588c737fff91e.ctv
110指缝里看电影,http://openhls-tct.douyucdn2.cn/dyliveflv3/9647834rSokotAre.m3u8?txSecret=6325f9443989300d8c682f5c7bdbf960&txTime=6671ba34&token=cph-androidmpro-0-9647834-846f22262784ff89cb596154a930a299&did=10000000000000000000000000001501&origin=tct&vhost=play3&sid=393235895
110指缝里看电影,https://stream.freetv.fun/7fc24a72adfa1a0b25187b9139c15765998a7dae76410d11a21d1ea8308438af.ctv
112俗哥看电影,http://openhls-tct.douyucdn2.cn/dyliveflv3a/2161818r99VOhSmt.m3u8?txSecret=57329586a89fc156fad0d7638e3e5b78&txTime=6671b9e2&token=cph-androidmpro-0-2161818-e280a7343caec6d16bd545ae65f8d22a&did=10000000000000000000000000001501&origin=tct&vhost=play4&sid=392412894
112俗哥看电影,https://stream.freetv.fun/3ab6191bff032381a0835c45bcafaa017cf390c185916f7f2b3094b001e8670d.ctv
115影视笑工场,http://openhls-tct.douyucdn2.cn/dyliveflv3a/10298846rH4LpoY4.m3u8?txSecret=189674ad3a7d8499891db8b89ab0fcc9&txTime=6671bacb&token=cph-androidmpro-0-10298846-2868eb15fde375dc8feffccb19892802&did=10000000000000000000000000001501&origin=tct&vhost=play4&sid=392572804
115影视笑工场,https://stream.freetv.fun/a7fc436f135cf707468d492ab92f6d29e003a64ae8fbef63af0d9d5d52f98354.ctv
117安小闫说电影x,http://openhls-tct.douyucdn2.cn/dyliveflv3a/1842621rrucGtq1B.m3u8?txSecret=4997fb874d91637bcdebf6945759a553&txTime=6671ba78&token=cph-androidmpro-0-1842621-d2636e51abc0948f1239b3a5e6d48684&did=10000000000000000000000000001501&origin=tct&vhost=play4&sid=392749426
117安小闫说电影x,https://stream.freetv.fun/1b451608dbe6fb06784ef8f08f9ea119dd87657753639ede92cc947e4835e268.ctv
11电影迷小雅,http://openhls-tct.douyucdn2.cn/dyliveflv3a/9639225rgDch8Azu.m3u8?txSecret=b9b37ba6be5df3dd7b6af309ef504d32&txTime=6671b918&token=cph-androidmpro-0-9639225-6bbe75308af6b1c895c83297f2c37443&did=10000000000000000000000000001501&origin=tct&vhost=play4&sid=391985827
11电影迷小雅,https://stream.freetv.fun/6c598c010a38e75501c60aedb2bd0dc0c80be45a21aa482f7ebf5594c14fad25.ctv
121科幻战舰,http://openhls-tct.douyucdn2.cn/dyliveflv3/8772060rMjl03gwt.m3u8?txSecret=0403ad09d2adbbdbfc7e9318ebb36464&txTime=6671b92c&token=cph-androidmpro-0-8772060-f6a0e44eda65f91cbabe2ab42e96b21b&did=10000000000000000000000000001501&origin=tct&vhost=play3&sid=391675484
121科幻战舰,https://stream.freetv.fun/dd6859e9dfc7063c7a1426c420e23b236bb3346ca7b1d6ee7f249c5aa4bad4de.ctv
122老电影故事,http://openhls-tct.douyucdn2.cn/dyliveflv3/9167273rUWXdTqU1.m3u8?txSecret=d17f86644b0fe0b3e7553a73451dc6e0&txTime=6671bad7&token=cph-androidmpro-0-9167273-20efbcb646ef641e59994d122889490b&did=10000000000000000000000000001501&origin=tct&vhost=play3&sid=391675634
122老电影故事,https://stream.freetv.fun/fcbd93532c790db61a4911ec2d94c29642744a3e6a13c0803866931619515d4e.ctv
126电影刘油果,http://openhls-tct.douyucdn2.cn/dyliveflv3/3985805r6H4Nmtj3.m3u8?txSecret=17c355b9bb5c65102a6b13696a01632a&txTime=6671b932&token=cph-androidmpro-0-3985805-4fa900af6d5834658039b04e2d301639&did=10000000000000000000000000001501&origin=tct&vhost=play3&sid=392813703
126电影刘油果,https://stream.freetv.fun/7edf503ad2df246778f03894dbdba9912beefa2eb01f9938739ffe20ea2bb80c.ctv
12发条张的电影最top,http://openhls-tct.douyucdn2.cn/dyliveflv3a/2164691rf4SJK9nP.m3u8?txSecret=b67a37c469e0c7626770785272136971&txTime=6671b996&token=cph-androidmpro-0-2164691-703bcda7b811dd93a7607f9c52a17e92&did=10000000000000000000000000001501&origin=tct&vhost=play4&sid=391675397
12发条张的电影最top,https://stream.freetv.fun/a46a08bd1282837999781c8ec862f4cf3973ea633408f7121cb59ed4db98e5cb.ctv
132冬粮说故事,http://openhls-tct.douyucdn2.cn/dyliveflv3/5192695rmNHUQMKF.m3u8?txSecret=1c78b7b356b74a250be2aa2b2b115401&txTime=6671b950&token=cph-androidmpro-0-5192695-6e75b4f17ededec56a9e28f469ad77f5&did=10000000000000000000000000001501&origin=tct&vhost=play3&sid=392715255
132冬粮说故事,https://stream.freetv.fun/a9be927f44d5909db0b82999927aeabe30e0a79a20c46e0296d4a11f6e930834.ctv
134胶片看电影,http://openhls-tct.douyucdn2.cn/dyliveflv3a/3715426rbZqMpf9s.m3u8?txSecret=bcc78df190d0fa6a2b700f54df6f4e69&txTime=6671ba3d&token=cph-androidmpro-0-3715426-faf8f6d7a33701714fded629278e667d&did=10000000000000000000000000001501&origin=tct&vhost=play4&sid=393055644
134胶片看电影,https://stream.freetv.fun/19f64ce254a41994238f16d6a0c96e8b82e509c10f3adae5ec153b72ac5bfb4f.ctv
135童乐说电影,http://openhls-tct.douyucdn2.cn/dyliveflv3/9660704rKlRJBpGS.m3u8?txSecret=06df357d8a89f1acedf8eeee901a8492&txTime=6671b8e8&token=cph-androidmpro-0-9660704-3be80754cfc46645ad7c854262dbb8b6&did=10000000000000000000000000001501&origin=tct&vhost=play3&sid=392890149
